#CHR	START	END	SAMPLE	RD	#SNPS	COV	ALPHA	BETA	BAF	CLUSTER	cn_normal	u_normal	cn_clone1	u_clone1
chr1	121250000	121500000	INV	1.35398	37	23	213	652	0.246243	6	1|1	0.62914	3|0	0.37086
chr1	142500000	142750000	DCIS	0.751161	31	23	264	451	0.369231	1	1|1	0.457942	2|0	0.542058
chr1	142500000	142750000	INV	0.854618	21	23	169	333	0.336653	1	1|1	0.62914	2|0	0.37086
chr1	142750000	143000000	DCIS	0.960763	13	38	132	370	0.262948	1	1|1	0.457942	2|0	0.542058
chr1	142750000	143000000	INV	0.692745	8	27	57	164	0.257919	1	1|1	0.62914	2|0	0.37086
chr1	143000000	143250000	DCIS	0.992391	30	18	137	411	0.25	12	1|1	0.457942	2|0	0.542058
chr1	143000000	143250000	INV	0.886491	18	12	41	184	0.182222	12	1|1	0.62914	2|0	0.37086
chr1	143250000	143500000	DCIS	0.909217	13	16	47	161	0.225962	18	1|1	0.457942	2|0	0.542058
chr1	143250000	143500000	INV	0.878824	7	20	45	97	0.316901	18	1|1	0.62914	2|0	0.37086
chr1	143500000	143750000	DCIS	1.96071	16	92	541	941	0.365047	4	1|1	0.457942	4|1	0.542058
chr1	143500000	143750000	INV	1.43481	15	34	200	318	0.3861	4	1|1	0.62914	4|1	0.37086
chr1	143750000	144000000	DCIS	1.6502	3	175	190	335	0.361905	4	1|1	0.457942	3|1	0.542058
chr1	143750000	144000000	INV	1.27884	3	19	17	40	0.298246	4	1|1	0.62914	3|1	0.37086
chr1	144000000	144250000	DCIS	1.56892	5	51	101	157	0.391473	4	1|1	0.457942	2|2	0.542058
chr1	144000000	144250000	INV	1.07406	4	15	27	34	0.442623	4	1|1	0.62914	2|2	0.37086
chr1	144250000	144500000	DCIS	1.30573	2	11	7	16	0.304348	4	1|1	0.457942	2|1	0.542058
chr1	144250000	144500000	INV	0.968153	3	14	15	28	0.348837	4	1|1	0.62914	2|1	0.37086
chr1	144500000	144750000	DCIS	1.27779	14	39	212	340	0.384058	4	1|1	0.457942	2|1	0.542058
chr1	144500000	144750000	INV	1.02942	11	20	70	150	0.318182	4	1|1	0.62914	2|1	0.37086
chr1	144750000	145000000	DCIS	1.33157	103	110	4733	6626	0.416674	4	1|1	0.457942	2|2	0.542058
chr1	144750000	145000000	INV	1.17778	74	73	2300	3151	0.421941	4	1|1	0.62914	2|2	0.37086
chr1	145000000	145250000	DCIS	1.63674	14	70	379	601	0.386735	4	1|1	0.457942	3|2	0.542058
chr1	145000000	145250000	INV	1.36571	12	43	204	316	0.392308	4	1|1	0.62914	3|2	0.37086
chr1	145250000	145500000	DCIS	1.67052	39	62	975	1471	0.39861	4	1|1	0.457942	3|2	0.542058
chr1	145250000	145500000	INV	1.44324	36	30	380	713	0.347667	4	1|1	0.62914	3|2	0.37086
chr1	145500000	145750000	DCIS	1.61985	18	102	832	1016	0.450216	4	1|1	0.457942	3|2	0.542058
chr1	145500000	145750000	INV	1.3895	15	63	378	581	0.394161	4	1|1	0.62914	3|2	0.37086
chr1	146000000	146250000	DCIS	1.33614	11	45	159	346	0.314851	4	1|1	0.457942	3|1	0.542058
chr1	146000000	146250000	INV	1.232	8	37	93	208	0.30897	4	1|1	0.62914	3|1	0.37086
chr1	146250000	146500000	DCIS	1.66373	12	74	234	659	0.262038	4	1|1	0.457942	4|1	0.542058
chr1	146250000	146500000	INV	1.59409	11	33	120	249	0.325203	4	1|1	0.62914	4|1	0.37086
chr1	146500000	146750000	DCIS	1.46957	61	74	1837	2680	0.406686	4	1|1	0.457942	3|2	0.542058
chr1	146500000	146750000	INV	1.58601	42	47	736	1278	0.365442	4	1|1	0.62914	3|2	0.37086
chr1	146750000	147000000	DCIS	1.53496	14	91	547	728	0.42902	4	1|1	0.457942	4|1	0.542058
chr1	146750000	147000000	INV	1.77485	11	63	218	482	0.311429	4	1|1	0.62914	4|1	0.37086
chr1	147000000	147250000	DCIS	1.75779	5	164	274	546	0.334146	4	1|1	0.457942	4|1	0.542058
chr1	147000000	147250000	INV	1.59586	5	72	131	233	0.35989	4	1|1	0.62914	4|1	0.37086
chr1	147500000	147750000	DCIS	1.79969	8	19	56	98	0.363636	4	1|1	0.457942	3|2	0.542058
chr1	147500000	147750000	INV	1.48602	4	15	27	33	0.45	4	1|1	0.62914	3|2	0.37086
chr1	147750000	148000000	DCIS	1.75022	3	36	31	78	0.284404	4	1|1	0.457942	3|1	0.542058
chr1	147750000	148000000	INV	1.30009	3	21	27	38	0.415385	4	1|1	0.62914	3|1	0.37086
chr1	148000000	148250000	DCIS	1.32301	12	50	214	397	0.350245	4	1|1	0.457942	3|1	0.542058
chr1	148000000	148250000	INV	1.25335	4	34	47	90	0.343066	4	1|1	0.62914	3|1	0.37086
chr1	148250000	148500000	DCIS	1.37526	1	48	11	37	0.229167	4	1|1	0.457942	3|1	0.542058
chr1	148250000	148500000	INV	1.16648	1	37	15	22	0.405405	4	1|1	0.62914	3|1	0.37086
chr1	148500000	148750000	DCIS	1.54131	9	49	141	300	0.319728	4	1|1	0.457942	3|1	0.542058
chr1	148500000	148750000	INV	1.10046	6	29	54	123	0.305085	4	1|1	0.62914	3|1	0.37086
chr1	148750000	149000000	DCIS	1.16368	19	78	565	933	0.37717	6	1|1	0.457942	2|1	0.542058
chr1	148750000	149000000	INV	1.10811	12	48	219	363	0.376289	6	1|1	0.62914	2|1	0.37086
chr1	149000000	149250000	DCIS	1.14842	52	104	2283	3140	0.420985	2	1|1	0.457942	2|2	0.542058
chr1	149000000	149250000	INV	1.21294	53	74	1697	2266	0.428211	2	1|1	0.62914	2|2	0.37086
chr1	149250000	149500000	DCIS	1.35162	1	71	23	48	0.323944	4	1|1	0.457942	3|1	0.542058
chr1	149250000	149500000	INV	1.22055	1	43	11	32	0.255814	4	1|1	0.62914	3|1	0.37086
chr1	149500000	149750000	DCIS	1.42492	10	93	357	580	0.381003	4	1|1	0.457942	3|2	0.542058
chr1	149500000	149750000	INV	1.33886	10	53	212	325	0.394786	4	1|1	0.62914	3|2	0.37086
chr1	149750000	150000000	DCIS	2.30429	21	148	1051	2061	0.337725	4	1|1	0.457942	4|1	0.542058
chr1	149750000	150000000	INV	1.65766	15	85	441	847	0.342391	4	1|1	0.62914	4|1	0.37086
chr1	150000000	150250000	DCIS	1.90158	6	120	271	453	0.374309	4	1|1	0.457942	4|1	0.542058
chr1	150000000	150250000	INV	1.84143	6	64	119	265	0.309896	4	1|1	0.62914	4|1	0.37086
chr1	150250000	150500000	DCIS	2.08358	19	104	701	1290	0.352084	4	1|1	0.457942	5|0	0.542058
chr1	150250000	150500000	INV	2.05697	17	49	257	591	0.303066	4	1|1	0.62914	5|0	0.37086
chr1	150500000	150750000	DCIS	2.05434	8	62	186	312	0.373494	4	1|1	0.457942	5|0	0.542058
chr1	150500000	150750000	INV	1.87107	7	28	66	134	0.33	4	1|1	0.62914	5|0	0.37086
chr1	150750000	151000000	DCIS	1.98197	10	99	364	633	0.365095	4	1|1	0.457942	5|0	0.542058
chr1	150750000	151000000	INV	1.94363	9	48	139	296	0.31954	4	1|1	0.62914	5|0	0.37086
chr1	151000000	151250000	DCIS	1.32365	4	41	75	91	0.451807	6	1|1	0.457942	2|2	0.542058
chr1	151000000	151250000	INV	1.09683	1	38	16	22	0.421053	6	1|1	0.62914	2|2	0.37086
chr1	151250000	151500000	DCIS	1.29975	19	66	504	753	0.400955	6	1|1	0.457942	2|1	0.542058
chr1	151250000	151500000	INV	1.0587	13	59	327	449	0.421392	6	1|1	0.62914	2|1	0.37086
chr1	151500000	151750000	DCIS	1.25362	26	77	815	1194	0.405674	6	1|1	0.457942	2|1	0.542058
chr1	151500000	151750000	INV	1.00573	16	65	421	620	0.404419	6	1|1	0.62914	2|1	0.37086
chr1	151750000	152000000	DCIS	1.20248	11	65	277	440	0.386332	6	1|1	0.457942	2|1	0.542058
chr1	151750000	152000000	INV	0.946738	9	42	170	208	0.449735	6	1|1	0.62914	2|1	0.37086
chr1	152000000	152250000	DCIS	0.950061	8	66	194	341	0.362617	6	1|1	0.457942	1|1	0.542058
chr1	152000000	152250000	INV	0.961892	7	68	211	266	0.442348	6	1|1	0.62914	1|1	0.37086
chr1	152250000	152500000	DCIS	0.885983	2	127	104	150	0.409449	6	1|1	0.457942	1|1	0.542058
chr1	152250000	152500000	INV	0.829112	1	86	37	49	0.430233	6	1|1	0.62914	1|1	0.37086
chr1	152500000	152750000	DCIS	1.05384	9	105	429	518	0.45301	6	1|1	0.457942	1|1	0.542058
chr1	152500000	152750000	INV	0.816412	9	63	249	321	0.436842	6	1|1	0.62914	1|1	0.37086
chr1	152750000	153000000	DCIS	1.01936	12	105	489	772	0.387787	6	1|1	0.457942	1|1	0.542058
chr1	152750000	153000000	INV	0.84767	8	104	311	523	0.372902	6	1|1	0.62914	1|1	0.37086
chr1	153000000	153250000	DCIS	1.0043	8	46	149	219	0.404891	6	1|1	0.457942	1|1	0.542058
chr1	153000000	153250000	INV	0.879183	8	33	96	173	0.356877	6	1|1	0.62914	1|1	0.37086
chr1	153250000	153500000	DCIS	1.04508	22	64	622	802	0.436798	6	1|1	0.457942	1|1	0.542058
chr1	153250000	153500000	INV	0.901123	12	74	382	512	0.427293	6	1|1	0.62914	1|1	0.37086
chr1	153500000	153750000	DCIS	1.31849	4	56	86	141	0.378855	6	1|1	0.457942	2|1	0.542058
chr1	153500000	153750000	INV	1.0294	3	31	27	68	0.284211	6	1|1	0.62914	2|1	0.37086
chr1	153750000	154000000	DCIS	1.403	5	36	54	127	0.298343	6	1|1	0.457942	3|0	0.542058
chr1	153750000	154000000	INV	1.06956	2	16	5	27	0.15625	6	1|1	0.62914	3|0	0.37086
chr1	154000000	154250000	DCIS	1.29045	1	38	8	30	0.210526	6	1|1	0.457942	3|0	0.542058
chr1	154000000	154250000	INV	1.12387	1	13	0	13	0	6	1|1	0.62914	3|0	0.37086
chr1	154500000	154750000	DCIS	1.19535	3	66	83	117	0.415	6	1|1	0.457942	2|1	0.542058
chr1	154500000	154750000	INV	0.992027	2	38	33	43	0.434211	6	1|1	0.62914	2|1	0.37086
chr1	154750000	155000000	DCIS	1.39683	4	28	40	72	0.357143	6	1|1	0.457942	2|1	0.542058
chr1	154750000	155000000	INV	0.953895	2	13	9	18	0.333333	6	1|1	0.62914	2|1	0.37086
chr1	155000000	155250000	DCIS	1.42281	13	81	461	598	0.435316	6	1|1	0.457942	2|2	0.542058
chr1	155000000	155250000	INV	0.978899	11	62	301	391	0.434971	6	1|1	0.62914	2|2	0.37086
chr1	155500000	155750000	DCIS	1.33168	12	60	267	458	0.368276	6	1|1	0.457942	2|1	0.542058
chr1	155500000	155750000	INV	1.02523	7	47	141	191	0.424699	6	1|1	0.62914	2|1	0.37086
chr1	155750000	156000000	DCIS	1.33243	14	81	477	666	0.417323	6	1|1	0.457942	2|1	0.542058
chr1	155750000	156000000	INV	1.12756	10	54	221	326	0.404022	6	1|1	0.62914	2|1	0.37086
chr1	156000000	156250000	DCIS	1.35162	6	53	127	191	0.399371	6	1|1	0.457942	2|1	0.542058
chr1	156000000	156250000	INV	1.05258	5	27	53	85	0.384058	6	1|1	0.62914	2|1	0.37086
chr1	156250000	156500000	DCIS	1.33274	21	66	566	831	0.405154	6	1|1	0.457942	2|1	0.542058
chr1	156250000	156500000	INV	1.05925	16	56	385	515	0.427778	6	1|1	0.62914	2|1	0.37086
chr1	156500000	156750000	DCIS	1.3283	46	57	1047	1577	0.399009	6	1|1	0.457942	2|1	0.542058
chr1	156500000	156750000	INV	0.964369	32	41	566	768	0.424288	6	1|1	0.62914	2|1	0.37086
chr1	156750000	157000000	DCIS	1.17956	27	46	505	758	0.399842	6	1|1	0.457942	2|1	0.542058
chr1	156750000	157000000	INV	0.9459	22	37	324	502	0.392252	6	1|1	0.62914	2|1	0.37086
chr1	157000000	157250000	DCIS	1.17359	1	33	13	20	0.393939	6	1|1	0.457942	2|1	0.542058
chr1	157000000	157250000	INV	0.950364	1	14	5	9	0.357143	6	1|1	0.62914	2|1	0.37086
chr1	157250000	157500000	DCIS	1.00275	2	57	38	77	0.330435	6	1|1	0.457942	2|0	0.542058
chr1	157250000	157500000	INV	0.831416	2	30	26	34	0.433333	6	1|1	0.62914	2|0	0.37086
chr1	157500000	157750000	DCIS	0.994659	7	67	179	296	0.376842	6	1|1	0.457942	1|1	0.542058
chr1	157500000	157750000	INV	0.910614	6	59	150	206	0.421348	6	1|1	0.62914	1|1	0.37086
chr1	157750000	158000000	DCIS	0.969186	4	64	108	148	0.421875	6	1|1	0.457942	1|1	0.542058
chr1	157750000	158000000	INV	0.835465	1	125	57	68	0.456	6	1|1	0.62914	1|1	0.37086
chr1	158000000	158250000	DCIS	1.06933	9	64	236	343	0.407599	6	1|1	0.457942	1|1	0.542058
chr1	158000000	158250000	INV	0.917475	5	61	110	196	0.359477	6	1|1	0.62914	1|1	0.37086
chr1	158500000	158750000	DCIS	0.915141	16	55	345	538	0.390713	6	1|1	0.457942	1|1	0.542058
chr1	158500000	158750000	INV	0.863648	13	53	314	378	0.453757	6	1|1	0.62914	1|1	0.37086
chr1	158750000	159000000	DCIS	0.982605	7	72	207	297	0.410714	6	1|1	0.457942	1|1	0.542058
chr1	158750000	159000000	INV	0.943488	4	82	137	194	0.413897	6	1|1	0.62914	1|1	0.37086
chr1	159000000	159250000	DCIS	0.988209	2	24	13	36	0.265306	6	1|1	0.457942	2|0	0.542058
chr1	159000000	159250000	INV	0.846578	1	32	12	20	0.375	6	1|1	0.62914	2|0	0.37086
chr1	159250000	159500000	DCIS	0.865898	5	43	85	131	0.393519	6	1|1	0.457942	1|1	0.542058
chr1	159250000	159500000	INV	0.835659	3	42	50	76	0.396825	6	1|1	0.62914	1|1	0.37086
chr1	159500000	159750000	DCIS	0.916291	3	60	83	97	0.461111	6	1|1	0.457942	1|1	0.542058
chr1	159500000	159750000	INV	0.923374	2	61	51	71	0.418033	6	1|1	0.62914	1|1	0.37086
chr1	159750000	160000000	DCIS	1.1842	45	50	861	1407	0.37963	6	1|1	0.457942	2|0	0.542058
chr1	159750000	160000000	INV	0.869103	33	35	443	736	0.375742	6	1|1	0.62914	2|0	0.37086
chr1	160000000	160250000	DCIS	1.25648	28	68	743	1164	0.389617	6	1|1	0.457942	2|1	0.542058
chr1	160000000	160250000	INV	0.962114	18	54	411	570	0.41896	6	1|1	0.62914	2|1	0.37086
chr1	160250000	160500000	DCIS	1.17878	17	87	637	854	0.42723	6	1|1	0.457942	2|1	0.542058
chr1	160250000	160500000	INV	0.997387	11	66	318	408	0.438017	6	1|1	0.62914	2|1	0.37086
chr1	160500000	160750000	DCIS	1.10604	23	53	516	718	0.418152	6	1|1	0.457942	1|1	0.542058
chr1	160500000	160750000	INV	0.911394	15	54	334	489	0.405832	6	1|1	0.62914	1|1	0.37086
chr1	160750000	161000000	DCIS	1.11638	37	89	1382	1925	0.417901	6	1|1	0.457942	2|1	0.542058
chr1	160750000	161000000	INV	0.975437	30	74	912	1310	0.410441	6	1|1	0.62914	2|1	0.37086
chr1	161000000	161250000	DCIS	1.42668	33	69	912	1380	0.397906	6	1|1	0.457942	2|1	0.542058
chr1	161000000	161250000	INV	0.996711	24	49	491	697	0.4133	6	1|1	0.62914	2|1	0.37086
chr1	161250000	161500000	DCIS	1.21811	6	86	212	304	0.410853	6	1|1	0.457942	2|1	0.542058
chr1	161250000	161500000	INV	0.983579	6	53	136	183	0.426332	6	1|1	0.62914	2|1	0.37086
chr1	161500000	161750000	DCIS	1.09472	16	98	601	974	0.381587	6	1|1	0.457942	1|1	0.542058
chr1	161500000	161750000	INV	0.8619	11	53	256	335	0.433164	6	1|1	0.62914	1|1	0.37086
chr1	161750000	162000000	DCIS	1.09023	2	61	47	76	0.382114	6	1|1	0.457942	2|1	0.542058
chr1	161750000	162000000	INV	0.951111	2	31	29	34	0.460317	6	1|1	0.62914	2|1	0.37086
chr1	162250000	162500000	DCIS	1.10225	6	46	114	166	0.407143	6	1|1	0.457942	2|1	0.542058
chr1	162250000	162500000	INV	1.01329	5	27	55	83	0.398551	6	1|1	0.62914	2|1	0.37086
chr1	162750000	163000000	DCIS	1.08752	2	152	118	187	0.386885	6	1|1	0.457942	1|1	0.542058
chr1	162750000	163000000	INV	0.878748	1	35	15	20	0.428571	6	1|1	0.62914	1|1	0.37086
chr1	163000000	163250000	DCIS	1.03519	11	84	385	546	0.413534	6	1|1	0.457942	1|1	0.542058
chr1	163000000	163250000	INV	0.90653	9	64	244	334	0.422145	6	1|1	0.62914	1|1	0.37086
chr1	164250000	164500000	DCIS	0.924918	4	43	72	101	0.416185	6	1|1	0.457942	1|1	0.542058
chr1	164250000	164500000	INV	0.919756	2	39	30	49	0.379747	6	1|1	0.62914	1|1	0.37086
chr1	165000000	165250000	DCIS	0.874104	1	24	12	12	0.5	6	1|1	0.457942	1|1	0.542058
chr1	165000000	165250000	INV	0.849486	1	10	5	5	0.5	6	1|1	0.62914	1|1	0.37086
chr1	165250000	165500000	DCIS	0.985086	9	54	193	296	0.394683	6	1|1	0.457942	1|1	0.542058
chr1	165250000	165500000	INV	0.890241	6	62	160	217	0.424403	6	1|1	0.62914	1|1	0.37086
chr1	165500000	165750000	DCIS	1.14226	17	63	438	640	0.406308	6	1|1	0.457942	2|1	0.542058
chr1	165500000	165750000	INV	1.01762	13	53	282	407	0.409289	6	1|1	0.62914	2|1	0.37086
chr1	166500000	166750000	DCIS	0.918684	4	74	113	183	0.381757	6	1|1	0.457942	1|1	0.542058
chr1	166500000	166750000	INV	0.967722	4	65	103	158	0.394636	6	1|1	0.62914	1|1	0.37086
chr1	166750000	167000000	DCIS	1.01819	12	86	420	622	0.403071	6	1|1	0.457942	1|1	0.542058
chr1	166750000	167000000	INV	0.919844	10	56	251	312	0.445826	6	1|1	0.62914	1|1	0.37086
chr1	167000000	167250000	DCIS	1.06094	8	74	224	374	0.374582	6	1|1	0.457942	1|1	0.542058
chr1	167000000	167250000	INV	0.918897	6	68	169	244	0.409201	6	1|1	0.62914	1|1	0.37086
chr1	167250000	167500000	DCIS	1.14214	6	59	140	214	0.39548	6	1|1	0.457942	2|1	0.542058
chr1	167250000	167500000	INV	0.934225	3	57	69	104	0.398844	6	1|1	0.62914	2|1	0.37086
chr1	167500000	167750000	DCIS	1.17332	6	49	120	174	0.408163	6	1|1	0.457942	2|1	0.542058
chr1	167500000	167750000	INV	0.966971	4	27	40	68	0.37037	6	1|1	0.62914	2|1	0.37086
chr1	167750000	168000000	DCIS	1.11113	24	97	946	1395	0.404101	6	1|1	0.457942	2|1	0.542058
chr1	167750000	168000000	INV	0.98985	21	68	612	824	0.426184	6	1|1	0.62914	2|1	0.37086
chr1	168000000	168250000	DCIS	1.12088	3	80	89	153	0.367769	6	1|1	0.457942	2|1	0.542058
chr1	168000000	168250000	INV	1.00906	3	31	39	54	0.419355	6	1|1	0.62914	2|1	0.37086
chr1	168250000	168500000	DCIS	1.10315	3	57	77	95	0.447674	6	1|1	0.457942	2|1	0.542058
chr1	168250000	168500000	INV	0.92928	2	55	48	63	0.432432	6	1|1	0.62914	2|1	0.37086
chr1	168500000	168750000	DCIS	0.988756	2	111	83	140	0.372197	6	1|1	0.457942	1|1	0.542058
chr1	168500000	168750000	INV	0.8689	2	85	83	88	0.48538	6	1|1	0.62914	1|1	0.37086
chr1	169250000	169500000	DCIS	1.05499	8	63	212	295	0.418146	6	1|1	0.457942	2|0	0.542058
chr1	169250000	169500000	INV	0.900077	6	34	67	141	0.322115	6	1|1	0.62914	2|0	0.37086
chr1	169500000	169750000	DCIS	1.03937	21	97	822	1227	0.401171	6	1|1	0.457942	1|1	0.542058
chr1	169500000	169750000	INV	0.938331	18	66	454	738	0.380872	6	1|1	0.62914	1|1	0.37086
chr1	169750000	170000000	DCIS	1.08149	33	75	951	1555	0.379489	6	1|1	0.457942	2|1	0.542058
chr1	169750000	170000000	INV	0.955363	22	64	579	848	0.405746	6	1|1	0.62914	2|1	0.37086
chr1	170000000	170250000	DCIS	0.991004	2	31	23	40	0.365079	6	1|1	0.457942	1|1	0.542058
chr1	170000000	170250000	INV	0.887971	2	22	17	28	0.377778	6	1|1	0.62914	1|1	0.37086
chr1	170750000	171000000	DCIS	0.912119	1	57	28	29	0.491228	6	1|1	0.457942	1|1	0.542058
chr1	170750000	171000000	INV	0.893101	1	39	14	25	0.358974	6	1|1	0.62914	1|1	0.37086
chr1	171000000	171250000	DCIS	1.02258	13	124	660	959	0.407659	6	1|1	0.457942	1|1	0.542058
chr1	171000000	171250000	INV	0.896983	12	87	434	615	0.413727	6	1|1	0.62914	1|1	0.37086
chr1	171250000	171500000	DCIS	1.10575	10	34	147	202	0.421203	6	1|1	0.457942	2|1	0.542058
chr1	171250000	171500000	INV	0.987913	8	23	77	111	0.409574	6	1|1	0.62914	2|1	0.37086
chr1	171500000	171750000	DCIS	1.07935	3	135	162	244	0.399015	6	1|1	0.457942	2|1	0.542058
chr1	171500000	171750000	INV	1.01303	3	96	118	171	0.408304	6	1|1	0.62914	2|1	0.37086
chr1	171750000	172000000	DCIS	1.06915	3	27	29	54	0.349398	6	1|1	0.457942	2|0	0.542058
chr1	171750000	172000000	INV	0.893804	1	32	10	22	0.3125	6	1|1	0.62914	2|0	0.37086
chr1	172000000	172250000	DCIS	0.951391	1	95	46	49	0.484211	6	1|1	0.457942	1|1	0.542058
chr1	172000000	172250000	INV	0.986047	1	98	35	63	0.357143	6	1|1	0.62914	1|1	0.37086
chr1	172250000	172500000	DCIS	1.08092	15	99	616	876	0.412869	6	1|1	0.457942	2|1	0.542058
chr1	172250000	172500000	INV	0.958149	12	74	386	510	0.430804	6	1|1	0.62914	2|1	0.37086
chr1	172500000	172750000	DCIS	1.06482	9	90	331	486	0.405141	6	1|1	0.457942	1|1	0.542058
chr1	172500000	172750000	INV	0.948692	5	58	131	161	0.44863	6	1|1	0.62914	1|1	0.37086
chr1	173250000	173500000	DCIS	1.02398	6	60	120	241	0.33241	6	1|1	0.457942	1|1	0.542058
chr1	173250000	173500000	INV	0.944783	5	33	76	90	0.457831	6	1|1	0.62914	1|1	0.37086
chr1	173500000	173750000	DCIS	1.00701	3	72	83	135	0.380734	6	1|1	0.457942	2|0	0.542058
chr1	173500000	173750000	INV	0.981913	3	28	28	57	0.329412	6	1|1	0.62914	2|0	0.37086
chr1	173750000	174000000	DCIS	1.27909	1	99	46	53	0.464646	6	1|1	0.457942	2|2	0.542058
chr1	173750000	174000000	INV	1.10605	1	28	12	16	0.428571	6	1|1	0.62914	2|2	0.37086
chr1	174750000	175000000	DCIS	1.15522	2	61	59	64	0.479675	6	1|1	0.457942	2|1	0.542058
chr1	174750000	175000000	INV	1.01583	1	33	15	18	0.454545	6	1|1	0.62914	2|1	0.37086
chr1	175000000	175250000	DCIS	1.10492	7	65	189	268	0.413567	6	1|1	0.457942	1|1	0.542058
chr1	175000000	175250000	INV	0.909972	7	37	104	161	0.392453	6	1|1	0.62914	1|1	0.37086
chr1	175250000	175500000	DCIS	1.00048	15	74	485	627	0.436151	6	1|1	0.457942	1|1	0.542058
chr1	175250000	175500000	INV	0.887833	9	79	314	399	0.440393	6	1|1	0.62914	1|1	0.37086
chr1	175750000	176000000	DCIS	1.07524	1	152	49	103	0.322368	6	1|1	0.457942	2|0	0.542058
chr1	175750000	176000000	INV	1.00936	1	117	49	68	0.418803	6	1|1	0.62914	2|0	0.37086
chr1	176000000	176250000	DCIS	1.0552	7	64	174	276	0.386667	6	1|1	0.457942	2|1	0.542058
chr1	176000000	176250000	INV	1.00581	6	31	72	116	0.382979	6	1|1	0.62914	2|1	0.37086
chr1	176750000	177000000	DCIS	0.933615	3	46	63	77	0.45	6	1|1	0.457942	1|1	0.542058
chr1	176750000	177000000	INV	0.878195	3	16	21	28	0.428571	6	1|1	0.62914	1|1	0.37086
chr1	177000000	177250000	DCIS	0.978227	8	54	177	258	0.406897	6	1|1	0.457942	1|1	0.542058
chr1	177000000	177250000	INV	0.881586	7	49	129	214	0.376093	6	1|1	0.62914	1|1	0.37086
chr1	177250000	177500000	DCIS	0.989988	1	51	22	29	0.431373	6	1|1	0.457942	1|1	0.542058
chr1	177250000	177500000	INV	0.885159	1	26	11	15	0.423077	6	1|1	0.62914	1|1	0.37086
chr1	177750000	178000000	DCIS	1.05053	12	60	312	412	0.430939	6	1|1	0.457942	1|1	0.542058
chr1	177750000	178000000	INV	0.941741	5	30	64	90	0.415584	6	1|1	0.62914	1|1	0.37086
chr1	178000000	178250000	DCIS	1.15642	1	48	20	28	0.416667	6	1|1	0.457942	2|1	0.542058
chr1	178000000	178250000	INV	1.09765	1	46	17	29	0.369565	6	1|1	0.62914	2|1	0.37086
chr1	178250000	178500000	DCIS	1.00797	4	89	167	190	0.467787	6	1|1	0.457942	1|1	0.542058
chr1	178250000	178500000	INV	0.886596	3	76	101	129	0.43913	6	1|1	0.62914	1|1	0.37086
chr1	178500000	178750000	DCIS	1.10873	3	43	53	78	0.40458	6	1|1	0.457942	2|1	0.542058
chr1	178500000	178750000	INV	1.02004	2	26	24	29	0.45283	6	1|1	0.62914	2|1	0.37086
chr1	179000000	179250000	DCIS	1.2081	5	37	76	109	0.410811	6	1|1	0.457942	2|0	0.542058
chr1	179000000	179250000	INV	1.01683	3	29	24	65	0.269663	6	1|1	0.62914	2|0	0.37086
chr1	179250000	179500000	DCIS	1.14273	22	58	490	791	0.382514	6	1|1	0.457942	2|1	0.542058
chr1	179250000	179500000	INV	1.094	14	48	279	405	0.407895	6	1|1	0.62914	2|1	0.37086
chr1	179500000	179750000	DCIS	0.994023	13	86	461	662	0.410508	6	1|1	0.457942	1|1	0.542058
chr1	179500000	179750000	INV	0.956498	11	65	312	403	0.436364	6	1|1	0.62914	1|1	0.37086
chr1	179750000	180000000	DCIS	1.15389	8	120	369	591	0.384375	6	1|1	0.457942	2|1	0.542058
chr1	179750000	180000000	INV	1.04375	6	68	165	247	0.400485	6	1|1	0.62914	2|1	0.37086
chr1	180000000	180250000	DCIS	1.09161	4	107	182	247	0.424242	6	1|1	0.457942	2|1	0.542058
chr1	180000000	180250000	INV	0.976866	4	68	111	161	0.408088	6	1|1	0.62914	2|1	0.37086
chr1	180250000	180500000	DCIS	1.08932	4	48	64	131	0.328205	6	1|1	0.457942	2|0	0.542058
chr1	180250000	180500000	INV	0.989976	2	12	10	14	0.416667	6	1|1	0.62914	2|0	0.37086
chr1	180750000	181000000	DCIS	1.06123	9	64	220	361	0.378657	6	1|1	0.457942	2|1	0.542058
chr1	180750000	181000000	INV	0.983016	7	45	125	190	0.396825	6	1|1	0.62914	2|1	0.37086
chr1	181500000	181750000	DCIS	0.943099	7	92	240	409	0.3698	6	1|1	0.457942	1|1	0.542058
chr1	181500000	181750000	INV	0.86962	5	70	156	196	0.443182	6	1|1	0.62914	1|1	0.37086
chr1	181750000	182000000	DCIS	0.938752	2	33	20	46	0.30303	6	1|1	0.457942	2|0	0.542058
chr1	181750000	182000000	INV	0.912963	2	22	19	26	0.422222	6	1|1	0.62914	2|0	0.37086
chr1	182250000	182500000	DCIS	1.12909	9	104	386	551	0.411953	6	1|1	0.457942	2|1	0.542058
chr1	182250000	182500000	INV	0.990208	8	66	206	323	0.389414	6	1|1	0.62914	2|1	0.37086
chr1	182500000	182750000	DCIS	1.06618	21	89	814	1066	0.432979	6	1|1	0.457942	1|1	0.542058
chr1	182500000	182750000	INV	0.915766	15	51	343	431	0.443152	6	1|1	0.62914	1|1	0.37086
chr1	182750000	183000000	DCIS	1.11063	7	41	104	187	0.357388	6	1|1	0.457942	2|0	0.542058
chr1	182750000	183000000	INV	1.01087	4	46	63	124	0.336898	6	1|1	0.62914	2|0	0.37086
