symbol	Name	Genome Location	Chr Band	Role in Cancer
LSM14A	"LSM14A	26065		Dom
LYL1	lymphoblastic leukemia derived sequence 1	19:13099033-13102867	13.13	"oncogene
LZTR1	leucine-zipper-like transcription regulator 1	22:20982013-20999038	11.21	Dom
MACC1	MET transcriptional regulator MACC1	7:20134655-20217390	21.1	
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	16:79593838-79600714	23.2	"oncogene
MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	20:40685848-40689240	12	"oncogene
MALAT1	"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)"	11:65497762-65506469	13.1	Dom
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	18:58671386-58754477	21.32	"oncogene
MAML2	mastermind-like 2 (Drosophila)	11:95976598-96343180	21	"oncogene
MAP2K1	mitogen-activated protein kinase kinase 1	15:66386817-66492312	22.31	E
MAP2K2	mitogen-activated protein kinase kinase 2	19:4090321-4124129	13.3	Dom
MAP2K4	mitogen-activated protein kinase kinase 4	17:12020834-12143830	12	E
MAP3K1	"mitogen-activated protein kinase kinase kinase 1	4214	Yes	Rec
MAP3K13	mitogen-activated protein kinase kinase kinase 13	3:185363120-185489097	27.2	"oncogene
MAPK1	mitogen-activated protein kinase 1	22:21754500-21867629	11.22	"E
MAX	Myc associated factor X	14:65075544-65102470	23.3	"E
MB21D2	Mab-21 domain containing 2	3:192796815-192918161	29	
MDM2	Mdm2 p53 binding protein homolog	12:68808176-68850686	15	
MDM4	Mdm4 p53 binding protein homolog	1:204516383-204558120	32.1	M
MDS2	myelodysplastic syndrome 2	1:23581495-23640568	36.12	fusion
MECOM	MDS1 and EVI1 complex locus	3:169083499-169146305	26.2	L
MED12	mediator complex subunit 12	X:71118723-71142447	13.1	"M
MEN1	multiple endocrine neoplasia type 1 gene	11:64803524-64811294	13.1	 carcinoid"
MET	met proto-oncogene (hepatocyte growth factor receptor)	7:116672405-116796342	31.2	Dom
MGMT	O-6-methylguanine-DNA methyltransferase	10:129467184-129768007	26.3	TSG
MITF	melanogenesis-associated transcription factor	3:69739435-69968336	13	oncogene
MLF1	myeloid leukemia factor 1	3:158582835-158606459	25.32	"TSG
MLH1	E.coli MutL homolog gene	3:36993332-37050918	22.2	 endometrial
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 1 (ENL)"	1	L
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 10 (AF10)"	1	L
MLLT11	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 11"	1	L
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 3 (AF9)"	1	L
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog	 6 (AF17)"	1	L
MN1	"MN1 proto-oncogene	4330		L
MNX1	motor neuron and pancreas homeobox 1	7:157004853-157010651	36.3	fusion
MPL	"myeloproliferative leukaemia virus oncogene	4352		Dom
MRTFA	megakaryoblastic leukemia (translocation) 1	22:40411390-40533635	13.2	"oncogene
MSH2	mutS homolog 2 (E. coli)	2:47402969-47483228	21	 ovarian"
MSH6	mutS homolog 6 (E. coli)	2:47783082-47810101	16.3	E
MSI2	musashi homolog 2 (Drosophila)	17:57256534-57684685	22	"oncogene
MSN	moesin	X:65667670-65741931	12	fusion
MTCP1	mature T-cell proliferation 1	X:155064034-155071226	28	"oncogene
MTOR	mechanistic target of rapamycin	1:11106535-11262507	36.22	 central nervous system tumours
MUC1	"mucin 1	4582		Dom
MUC16	"mucin 16	94025		E
MUC4	"mucin 4	4585		
MUTYH	mutY homolog (E. coli)	1:45329242-45340388	34.1	TSG
MYB	v-myb myeloblastosis viral oncogene homolog	6:135181315-135219167	23.3	"oncogene
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	8:127736069-127741434	24.21	"L
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	1:39895426-39902013	34.2	oncogene
MYCN	"v-myc myelocytomatosis viral related oncogene	4613		O
MYD88	myeloid differentiation primary response gene (88)	3:38138478-38143019	22.2	oncogene
MYH11	"myosin	 smooth muscle"	1	L
MYH9	"myosin	 non-muscle"	1	L
MYO5A	"myosin VA (heavy chain 12	4644		Dom
MYOD1	myogenic differentiation 1	11:17719568-17722131	15.1	oncogene
N4BP2	NEDD4 binding protein 2	4:40056826-40158252	14	TSG
NAB2	NGFI-A binding protein 2	12:57088894-57095476	13.3	 O"
NACA	nascent-polypeptide-associated complex alpha polypeptide	12:56712433-56725299	13.3	fusion
NBEA	neurobeachin	13:34942287-35672735	13.3	 L"
NBN	nibrin	8:89933336-89984716	21.3	Nijmegen breakage syndrome
NCKIPSD	NCK interacting protein with SH3 domain	3:48673844-48685927	21.31	fusion
NCOA1	nuclear receptor coactivator 1	2:24491932-24770702	23.3	fusion
NCOA2	nuclear receptor coactivator 2 (TIF2)	8:70109762-70403805	13.3	"L
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	10:46006412-46030607	11.22	"TSG
NCOR1	nuclear receptor corepressor 1	17:16029157-16215549	12	TSG
NCOR2	nuclear receptor corepressor 2	12:124324415-124495252	24.31	TSG
NDRG1	N-myc downstream regulated 1	8:133237176-133297586	24.22	"TSG
NF1	neurofibromatosis type 1 gene	17:31094927-31377677	11.2	O
NF2	neurofibromatosis type 2 gene	22:29603558-29698598	12.2	neurofibromatosis type 2
NFATC2	"nuclear factor of activated T-cells	 calcineurin-dependent 2"	1	M
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	2:177230305-177265131	31.2	Dom
NFIB	nuclear factor I/B	9:14087569-14313667	23	Dom
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	10:102394597-102402524	24.32	"oncogene
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor	4794		"L
NIN	ninein (GSK3B interacting protein)	14:50725840-50831121	22.1	fusion
NKX2-1	NK2 homeobox 1	14:36516392-36520228	13.3	"oncogene
NONO	"non-POU domain containing	4841	Yes	Dom
NOTCH1	"Notch homolog 1	4851	Yes	 lung SCC
NOTCH2	Notch homolog 2	1:119911553-120069626	12	"L
NPM1	"nucleophosmin (nucleolar phosphoprotein B23	4869	Yes	
NR4A3	"nuclear receptor subfamily 4	 member 3 (NOR1)"	1	M
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	1:114704469-114716894	13.2	
NRG1	neuregulin 1	8:32548635-32764407	12	"TSG
NSD1	nuclear receptor binding SET domain protein 1	5:177133925-177300215	35.3	fusion
NSD2	Wolf-Hirschhorn syndrome candidate 1(MMSET)	4:1892845-1982207	16.3	"oncogene
NSD3	Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)	8:38269697-38382272	11.23	"oncogene
NT5C2	"5'-nucleotidase	22978	Yes	Dom
NTHL1	nth like DNA glycosylase 1	16:2039815-2047866	13.3	TSG
NTRK1	"neurotrophic tyrosine kinase	 type 1"	1	
NTRK3	"neurotrophic tyrosine kinase	 type 3"	1	
NUMA1	nuclear mitotic apparatus protein 1	11:72002864-72080687	13.4	fusion
NUP214	nucleoporin 214kDa (CAN)	9:131125561-131234670	34.13	Dom
NUP98	nucleoporin 98kDa	11:3675010-3797792	15.4	"oncogene
NUTM1	"NUT midline carcinoma	256646		Dom
NUTM2B	NUT family member 2B	10:79703227-79712757	22.3	fusion
NUTM2D	NUT family member 2A	10:87357668-87367195	23.2	fusion
OLIG2	oligodendrocyte lineage transcription factor 2 (BHLHB1)	21:33025935-33029196	22.11	"oncogene
OMD	osteomodulin	9:92414245-92424461	22.31	fusion
P2RY8	"purinergic receptor P2Y	 8"	1	
PABPC1	poly(A) binding protein cytoplasmic 1	8:100702916-100722712	22.3	
PAFAH1B2	"platelet-activating factor acetylhydrolase	 beta subunit 30kDa"	1	L
PALB2	partner and localizer of BRCA2	16:23603170-23641310	12.2	"Fanconi anaemia N
PATZ1	zinc finger protein 278 (ZSG)	22:31325804-31346232	12.2	"TSG
PAX3	paired box gene 3	2:222199888-222298981	36.1	"oncogene
PAX5	paired box gene 5 (B-cell lineage specific activator protein)	9:36833275-37034185	13.2	L
PAX7	paired box gene 7	1:18631006-18736138	36.13	fusion
PAX8	paired box gene 8	2:113215997-113278921	14.1	fusion
PBRM1	polybromo 1	3:52547841-52685836	21.1	Rec
PBX1	pre-B-cell leukemia transcription factor 1	1:164559635-164851831	23.3	 M"
PCBP1	poly(rC) binding protein 1	2:70087454-70089203	13.3	
PCM1	pericentriolar material 1  (PTC4)	8:17922840-18027968	22	"E
PDCD1LG2	programmed cell death 1 ligand 2	9:5510570-5571254	24.1	Dom
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	1:148889463-149033016	21.2	fusion
PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	22:39223359-39244751	13.1	"oncogene
PDGFRA	"platelet-derived growth factor	5156	Yes	familial gastrointestinal stromal tumour
PDGFRB	"platelet-derived growth factor receptor	5159		
PER1	period homolog 1 (Drosophila)	17:8140472-8152435	13.1	Dom
PHF6	PHD finger protein 6	X:134373312-134428789	26.2	TSG
PHOX2B	paired-like homeobox 2b	4:41744082-41748970	13	TSG
PICALM	phosphatidylinositol binding clathrin assembly protein (CALM)	11:85958814-86068929	14.2	Dom
PIK3CA	"phosphoinositide-3-kinase	 alpha polypeptide"	1	 breast"
PIK3CB	"phosphatidylinositol-4	5291	Yes	E
PIK3R1	"phosphoinositide-3-kinase	5295	Yes	
PIM1	pim-1 oncogene	6:37170203-37175426	21.2	"oncogene
PLAG1	pleiomorphic adenoma gene 1	8:56160904-56211279	12.1	Dom
PLCG1	"phospholipase C	5335	Yes	Dom
PML	promyelocytic leukemia	15:73994717-74046771	24.1	Dom
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	2:189784381-189877629	32.2	E
PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	7:5973239-6009125	22.1	 glioma"
POLD1	"DNA polymerase delta 1	5424		
POLE	"polymerase (DNA directed)	 catalytic subunit"	1	 skin cancer"
POLG	"DNA polymerase gamma	5428		
POLQ	DNA polymerase theta	3:121431431-121546006	13.33	"oncogene
POT1	protection of telomeres 1	7:124822386-124929981	31.33	TSG
POU2AF1	"POU domain	 associating factor 1 (OBF1)"	1	L
POU5F1	"POU domain	 transcription factor 1"	1	M
PPARG	"peroxisome proliferative activated receptor	5468	Yes	Dom
PPFIBP1	"PTPRF interacting protein	8496		"E
PPM1D	"protein phosphatase	8493	Yes	
PPP2R1A	"protein phosphatase 2	 alpha"	1	E
PPP6C	"protein phosphatase 6	5537	Yes	Dom
PRCC	papillary renal cell carcinoma (translocation-associated)	1:156767500-156800817	23.1	fusion
PRDM1	"PR domain containing 1	639		Rec
PRDM16	PR domain containing 16	1:3069211-3438621	36.32	Dom
PRDM2	PR/SET domain 2	1:13704855-13825079	36.21	
PREX2	"phosphatidylinositol-3	5-trisphosphate dependent Rac exchange factor 2"	1	
PRF1	perforin 1 (pore forming protein)	10:70597349-70602775	22.1	Rec
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	19:14091688-14117744	13.12	Dom
PRKAR1A	"protein kinase	 regulatory	5573	"myxoma
PRKCB	protein kinase C beta	16:23835983-24220611	12.2	
PRPF40B	pre-mRNA processing factor 40 homolog B	12:49623436-49644665	13.12	"E
PRRX1	paired related homeobox 1	1:170663906-170739419	24.2	fusion
PSIP1	PC4 and SFRS1 interacting protein 1 (LEDGF)	9:15464066-15511019	22.3	"oncogene
PTCH1	Homolog of Drosophila Patched gene	9:95442980-95508661	22.32	"E
PTEN	phosphatase and tensin homolog gene	10:87863113-87971930	23.31	 prostate
PTK6	protein tyrosine kinase 6	20:63528001-63537354	13.33	
PTPN11	"protein tyrosine phosphatase	5781	Yes	
PTPN13	"protein tyrosine phosphatase	5783	Yes	hepatocellular
PTPN6	"protein tyrosine phosphatase	5777		
PTPRB	"protein tyrosine phosphatase	 B"	1	E
PTPRC	"protein tyrosine phosphatase	 C"	1	L
PTPRD	"protein tyrosine phosphatase	5789		
PTPRK	"protein tyrosine phosphatase	 K"	1	E
PTPRT	"protein tyrosine phosphatase	11122	Yes	 melanoma"
PWWP2A	PWWP domain containing 2A	5:160091339-160119423	33.3	fusion
QKI	"QKI	 RNA binding"	1	
RABEP1	"rabaptin	9135	Yes	Dom
RAC1	"ras-related C3 botulinum toxin substrate 1 (rho family	5879	Yes	E
RAD17	RAD17 checkpoint clamp loader component	5:69369806-69414801	13.2	 L"
RAD21	RAD21 homolog (S. pombe)	8:116845935-116874866	24.11	
RAD51B	RAD51 paralog B	14:67819779-68611565	24.1	Dom
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	3:12583601-12664226	25.2	 E"
RALGDS	ral guanine nucleotide dissociation stimulator	9:133097720-133121176	34.2	L
RANBP2	RAN binding protein 2	2:108719481-108785811	13	"TSG
RAP1GDS1	"RAP1	5910	Yes	Dom
RARA	"retinoic acid receptor	5914		Dom
RB1	retinoblastoma gene	13:48303726-48481890	14.2	 sarcoma
RBM10	RNA binding motif protein 10	X:47145447-47186812	11.3	TSG
RBM15	RNA binding motif protein 15	1:110338506-110346677	13.3	fusion
RECQL4	RecQ protein-like 4	8:144511291-144517826	24.3	M
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2:60881521-60931610	16.1	oncogene
RET	ret proto-oncogene	10:43077027-43130351	11.21	"medullary thyroid
RFWD3	ring finger and WD repeat domain 3	16:74621394-74666881	23.1	TSG
RGPD3	RANBP2-like and GRIP domain containing 3	2:106404990-106468376	12.2	
RGS7	regulator of G protein signaling 7	1:240775515-241357230	43	
RHOA	ras homolog family member A	3:49359145-49412202	21.31	"E
RHOH	ras homolog family member H	4:40196907-40246967	14	"TSG
RMI2	RecQ mediated genome instability 2	16:11345431-11351762	13.13	Dom
RNF213	ring finger protein 213	17:80260868-80398786	25.3	fusion
RNF43	ring finger protein 43	17:58353676-58417533	22	E
ROBO2	roundabout guidance receptor 2	3:75906695-77647510	12.3	
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6:117288300-117425855	22.1	
RPL10	ribosomal protein L10	X:154398230-154402339	28	TSG
RPL22	ribosomal protein L22 (EAP)	1:6185020-6199612	36.31	Dom
RPL5	ribososomal protein L5	1:92831983-92841924	22.1	TSG
RPN1	ribophorin I	3:128619970-128650849	21.3	fusion
RSPO2	R-spondin 2	8:107899317-108083648	23.1	"TSG
RSPO3	R-spondin 3	6:127118604-127197296	22.33	"oncogene
RUNX1	runt-related transcription factor 1  (AML1)	21:34787801-35049344	22.12	L
RUNX1T1	"runt-related transcription factor 1; translocated to	862	Yes	Dom
S100A7	S100 calcium binding protein A7	1:153457744-153460701	21.3	 L"
SALL4	spalt like transcription factor 4	20:51782331-51802520	13.2	
SBDS	Shwachman-Bodian-Diamond syndrome protein	7:66987677-66995601	11.21	Rec
SDC4	syndecan 4	20:45325288-45348424	13.12	fusion
SDHA	"succinate dehydrogenase complex	 flavoprotein (Fp)"	1	paragangliomas-5 (PGL5)
SDHAF2	succinate dehydrogenase complex assembly factor 2	11:61430073-61447529	12.2	TSG
SDHB	"succinate dehydrogenase complex	 iron sulfur (Ip)"	1	familial paraganglioma
SDHC	"succinate dehydrogenase complex	 integral membrane protein	1:161314257-161375340	 pheochromocytoma"
SDHD	"succinate dehydrogenase complex	 integral membrane protein"	1	familial paraganglioma
SEPT5	septin 5	22:19714464-19723319	11.21	fusion
SEPT6	septin 6	X:119617639-119693370	24	fusion
SEPT9	septin 9	17:77281410-77500592	25.3	fusion
SET	SET translocation	9:128683655-128696400	34.11	"oncogene
SETBP1	SET binding protein 1	18:44680898-45068510	12.3	neuroepithelial tumours
SETD1B	SET domain containing 1B	12:121804180-121830239	24.31	
SETD2	SET domain containing 2	3:47016689-47163967	21.31	TSG
SETDB1	SET domain bifurcated 1	1:150926339-150964735	21.3	oncogene
SF3B1	"splicing factor 3b	 155kDa"	1	L
SFPQ	splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated)	1:35182932-35193148	34.3	"TSG
SFRP4	secreted frizzled related protein 4	7:37905932-37916915	14.1	
SGK1	serum/glucocorticoid regulated kinase 1	6:134169246-134318058	23.2	oncogene
SH2B3	SH2B adaptor protein 3	12:111405948-111451623	24.12	
SH3GL1	SH3-domain GRB2-like 1 (EEN)	19:4360370-4400547	13.3	"oncogene
SHTN1	KIAA1598	10:116883377-117005577	25.3	fusion
SIRPA	signal regulatory protein alpha	20:1894508-1940592	13	E
SIX1	SIX homeobox 1	14:60643415-60649462	23.1	oncogene
SIX2	SIX homeobox 2	2:45005161-45009430	21	oncogene
SKI	SKI proto-oncogene	1:2228695-2310119	36.33	oncogene
SLC34A2	"solute carrier family 34 (sodium phosphate)	10568	Yes	Dom
SLC45A3	"solute carrier family 45	85414	Yes	Dom
SMAD2	SMAD family member 2	18:47808957-47930559	21.1	Rec
SMAD3	SMAD family member 3	15:67065845-67195195	22.33	Rec
SMAD4	SMAD family member 4	18:51030213-51085039	21.2	E
SMARCA4	"SWI/SNF related	 actin dependent regulator of chromatin	6597	 SCCOHT"
SMARCB1	"SWI/SNF related	 actin dependent regulator of chromatin	6598	malignant rhabdoid
SMARCD1	"SWI/SNF related	 actin dependent regulator of chromatin	6602	
SMARCE1	"SWI/SNF related	 actin dependent regulator of chromatin	6605	meningioma
SMC1A	structural maintenance of chromosomes 1A	X:53374149-53422728	11.22	TSG
SMO	smoothened homolog (Drosophila)	7:129188872-129213545	32.1	oncogene
SND1	staphylococcal nuclease and tudor domain containing 1	7:127652180-128092607	32.1	"oncogene
SNX29	RUN domain containing 2A	16:11976738-12574289	13.13	Dom
SOCS1	suppressor of cytokine signaling 1	16:11254417-11256200	13.13	Rec
SOX2	SRY (sex determining region Y)-box 2	3:181711924-181714436	26.33	Dom
SOX21	SRY-box 21	13:94709622-94712399	32.1	TSG
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	17:20087022-20314755	11.2	fusion
SPEN	spen family transcriptional repressor	1:15847864-15940460	36.21	L
SPOP	speckle type POZ protein	17:49598884-49678110	21.33	Rec
SRC	"SRC proto-oncogene	6714		E
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	3:8980591-9249379	25.3	fusion
SRSF2	serine/arginine-rich splicing factor 2	17:76734115-76737333	25.1	Dom
SRSF3	serine/arginine-rich splicing factor 3	6:36594368-36605600	21.31	"oncogene
SS18	"synovial sarcoma translocation	6760		Dom
SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	20:62143795-62182484	13.33	fusion
SSX1	"synovial sarcoma	6756		Dom
SSX2	"synovial sarcoma	6757		Dom
SSX4	"synovial sarcoma	6759		Dom
STAG1	stromal antigen 1	3:136336233-136752368	22.3	 L"
STAG2	stromal antigen 2	X:123960519-124101498	25	
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	17:42313324-42388568	21.2	oncogene
STAT5B	signal transducer and activator of transcription 5B	17:42199168-42276406	21.2	"L
STAT6	"signal transducer and activator of transcription 6	6778		"M
STIL	SCL/TAL1 interrupting locus	1:47250142-47314140	33	"oncogene
STK11	serine/threonine kinase 11 gene (LKB1)	19:1206464-1228435	13.3	 pancreatic"
STRN	"striatin	6801		
SUFU	suppressor of fused homolog (Drosophila)	10:102503987-102633535	24.32	TSG
SUZ12	suppressor of zeste 12 homolog (Drosophila)	17:31937018-32001045	11.2	"oncogene
SYK	spleen tyrosine kinase	9:90801787-90898549	22.2	Dom
TAF15	"TAF15 RNA polymerase II	 68kDa"	1	
TAL1	T-cell acute lymphocytic leukemia 1 (SCL)	1:47216292-47229771	33	"oncogene
TAL2	T-cell acute lymphocytic leukemia 2	9:105662457-105663112	31.2	"oncogene
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	3:177019355-177196478	26.32	
TBX3	T-box 3	12:114670255-114683590	24.21	E
TCEA1	"transcription elongation factor A (SII)	6917		Dom
TCF12	"transcription factor 12 (HTF4	6938		Dom
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	19:1609290-1652329	13.3	"oncogene
TCF7L2	transcription factor 7-like 2	10:112950407-113167493	25.3	"oncogene
TCL1A	T-cell leukemia/lymphoma 1A	14:95709968-95714196	32.13	"oncogene
TEC	tec protein tyrosine kinase	4:48135783-48269864	12	"oncogene
TENT5C	"family with sequence similarity 46	54855		Rec
TERT	telomerase reverse transcriptase	5:1253167-1295047	15.33	 skin squamous cell
TET1	tet methylcytosine dioxygenase 1	10:68560656-68694482	21.3	"oncogene
TET2	tet oncogene family member 2	4:105146293-105279816	24	TSG
TFE3	transcription factor binding to IGHM enhancer 3	X:49028731-49043486	11.23	E
TFEB	transcription factor EB	6:41683978-41736259	21.1	Dom
TFG	TRK-fused gene	3:100709425-100748966	12.2	
TFPT	TCF3 (E2A) fusion partner (in childhood leukaemia)	19:54107013-54115675	13.42	fusion
TFRC	"transferrin receptor (p90	7037		Dom
TGFBR2	transforming growth factor beta receptor II	3:30606601-30694142	24.1	Rec
THRAP3	thyroid hormone receptor associated protein 3 (TRAP150)	1:36224416-36305357	34.3	fusion
TLX1	"T-cell leukemia	3195		Dom
TLX3	"T-cell leukemia	30012		Dom
TMEM127	transmembrane protein 127	2:96248516-96265994	11.2	 E"
TMPRSS2	"transmembrane protease	7113	Yes	Dom
TNC	tenascin C	9:115020534-115118257	33.1	
TNFAIP3	"tumor necrosis factor	7128	Yes	
TNFRSF14	"tumor necrosis factor receptor superfamily	8764		Rec
TNFRSF17	"tumor necrosis factor receptor superfamily	608		Dom
TOP1	topoisomerase (DNA) I	20:41028818-41124487	12	fusion
TP53	tumor protein p53	17:7668402-7687538	13.1	 glioma
TP63	tumor protein p63	3:189631427-189897279	28	
TPM3	tropomyosin 3	1:154167465-154192211	21.3	
TPM4	tropomyosin 4	19:16067538-16102943	13.12	fusion
TPR	translocated promoter region	1:186311652-186375325	31.1	Dom
TRA	T cell receptor alpha locus	14:-	11.2	fusion
TRAF7	tumour necrosis factor receptor-associated factor 7	16:2155765-2178129	13.3	TSG
TRB	T cell receptor beta locus	7:-	34	fusion
TRD	T cell receptor delta locus	14:-	11.2	fusion
TRIM24	tripartite motif containing 24	7:138460334-138589993	34	"oncogene
TRIM27	tripartite motif-containing 27	6:28903002-28923989	22.1	"oncogene
TRIM33	"tripartite motif-containing 33 (PTC7	51592		Dom
TRIP11	thyroid hormone receptor interactor 11	14:91965991-92040059	32.12	fusion
TRRAP	transformation/transcription domain-associated protein	7:98878490-99013243	22.1	oncogene
TSC1	tuberous sclerosis 1 gene	9:132891348-132944633	34.13	Tuberous sclerosis 1
TSC2	tuberous sclerosis 2 gene	16:2047465-2088720	13.3	 tuberous sclerosis tuber"
TSHR	thyroid stimulating hormone receptor	14:80955043-81146302	31.1	oncogene
U2AF1	U2 small nuclear RNA auxiliary factor 1	21:43092956-43107587	22.3	Dom
UBR5	ubiquitin protein ligase E3 component n-recognin 5	8:102253012-102412841	22.3	"L
USP44	ubiquitin specific peptidase 44	12:95516560-95551490	22	
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	17:5116438-5174991	13.2	"oncogene
USP8	ubiquitin specific peptidase 8	15:50424382-50514419	21.2	oncogene
VAV1	vav guanine nucleotide exchange factor 1	19:6772726-6857107	13.3	fusion
VHL	von Hippel-Lindau syndrome gene	3:10141008-10152220	25.3	 pheochromocytoma"
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A	10:112447258-112818744	25.2	fusion
WAS	Wiskott-Aldrich syndrome	X:48683779-48691427	11.23	oncogene
WDCP	chromosome 2 open reading frame 44	2:24029340-24047353	23.3	fusion
WIF1	WNT inhibitory factor 1	12:65050626-65121566	14.3	"TSG
WNK2	WNK lysine deficient protein kinase 2	9:93184930-93318271	22.31	TSG
WRN	Werner syndrome (RECQL2)	8:31033801-31173769	12	"L
WT1	Wilms tumour 1 gene	11:32387775-32435630	13	 familial Wilms tumour"
WWTR1	WW domain containing transcription regulator 1	3:149517235-149703273	25.1	"oncogene
XPA	"xeroderma pigmentosum	7507		xeroderma pigmentosum (A)
XPC	"xeroderma pigmentosum	7508		xeroderma pigmentosum (C)
XPO1	"exportin 1 (CRM1 homolog	7514	Yes	Dom
YWHAE	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	7531		Dom
ZBTB16	zinc finger and BTB domain containing 16	11:114059593-114250676	23.2	"TSG
ZCCHC8	"zinc finger	55596		Dom
ZEB1	zinc finger E-box binding homeobox 1	10:31319172-31529813	11.22	
ZFHX3	zinc finger homeobox 3	16:72782885-73891871	22.3	E
ZMYM2	zinc finger protein 198	13:19958670-20091829	12.11	Dom
ZMYM3	zinc finger MYM-type containing 3	X:71239624-71254140	13.1	
ZNF331	zinc finger protein 331	19:53521024-53580269	13.42	"TSG
ZNF384	zinc finger protein 384 (CIZ/NMP4)	12:6666648-6689510	13.31	fusion
ZNF429	zinc finger protein 429	19:21505564-21538078	12	
ZNF479	zinc finger protein 479	7:57119614-57139864	11.2	E
ZNF521	zinc finger protein 521	18:25061926-25352152	11.2	"oncogene
ZNRF3	zinc and ring finger 3	22:28883592-29057487	12.1	E
ZRSR2	"zinc finger (CCCH type)	8233	Yes	L
